0,16518
1,32981
2,40195
3,14393
4,26192
5,21350
6,21350
7,36974
8,30957
9,31538
10,23329
11,19035
12,21428
13,21887
14,21204
15,19214
16,17961
17,17961
18,22144
19,21555
20,21607
21,18498
22,18621
23,17625
24,18408
25,17637
26,14293
27,15826
28,15826
29,20824
30,20008
31,24750
32,18050
33,18632
34,24403
35,22614
36,7124
37,12335
38,12335
39,17760
40,19471
41,17804
42,16529
43,11832
44,13376
45,18408
46,8734
47,8734
48,8734
49,10143
50,8309
51,10378
52,9707
53,5267
54,6128
55,7001
56,7627
57,7370
58,7370
59,10132
60,7392
61,4764
62,14013
63,7437
64,16015
65,17122
66,15355
67,15355
68,12795
69,4909
70,10065
71,4988
72,8980
73,1822
74,3176
75,10401
76,16697
77,17827
78,17827
79,12861
80,7582
81,9763
82,11005
83,9495
84,5738
85,1185
86,3789
87,3789
88,10564
89,8872
90,16373
91,8678
92,19560
93,18722
94,11295
95,23654
96,13174
97,18587
98,18587
99,11631
100,12291
101,3959
102,4920
103,6184
104,17737
105,11955
106,9987
107,9987
108,23162
109,26092
110,19941
111,17089
112,1554
113,8077
114,7985
115,4719
116,1073
117,3679
118,3679
119,5893
120,9193
121,8801
122,2684
123,2594
124,6184
125,2885
126,592
127,592
128,3668
129,5759
130,9897
131,7672
132,4361
133,7504
134,8108
135,7325
136,7325
137,2292
138,1476
139,3411
140,7258
141,7895
142,6822
143,5726
144,2728
145,2728
146,7918
147,3220
148,4059
149,1934
150,8432
151,4026
152,5413
153,3265
154,3265
155,2896
156,3590
157,2907
158,3467
159,8385
160,4775
161,6553
162,6553
163,4809
164,5614
165,4809
166,1040
167,2348
168,2628
169,2527
170,2617
171,2896
172,2896
173,1599
174,6028
175,4674
176,2203
177,3097
178,4764
179,5536
180,3914
181,3914
182,3914
183,2404
184,5133
185,4361
186,3120
187,3288
188,3209
189,7716
190,7716
191,6900
192,6140
193,6229
194,13141
195,2841
196,20333
197,9472
198,16261
199,11765
200,11765
201,12951
202,13174
203,7090
204,13029
205,16306
206,10076
207,17037
208,995
209,995
210,4674
211,12335
212,12078
213,7605
214,13610
215,12559
216,18565
217,14651
218,11866
219,11866
220,8432
221,15512
222,24862
223,15076
224,13308
225,24671
226,19236
227,15579
228,15579
229,9685
230,13264
231,16026
232,12984
233,21004
234,9797
235,24906
236,24906
237,24906
238,13107
239,7403
240,5715
241,18722
242,13733
243,1308
244,7672
245,8153
246,7213
247,7213
248,10020
249,15109
250,22513
251,23642
252,30319
253,34614
254,35442
255,33719
256,33719
257,29906
258,29906
259,20612
260,19661
261,22558
262,23400
263,17100
264,14349
265,14349
266,13980
267,18017
268,18017
269,15724
270,11340
271,11978
272,9551
273,11597
274,11810
275,9573
276,11005
277,11005
278,12425
279,12503
280,12335
281,11273
282,12526
283,10669
284,7146
285,11564
286,11564
287,13197
288,10490
289,11385
290,10401
291,7649
292,6934
293,9293
294,13521
295,10087
296,10087
297,8868
298,10457
299,8723
300,10759
301,9405
302,11083
303,13487
304,10188
305,10188
306,13230
307,11083
308,8108
309,10356
310,16999
311,18028
312,22725
313,22725
314,19236
315,21775
316,19471
317,14919
318,9316
319,5536
